"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
13,200,0.02,"Fixed point linearization","fix","epsilon",0.0513284786756579,0.1
13,200,0.02,"Fixed point linearization","fix","alpha",0.488950938049126,0.5
13,200,0.02,"Fixed point linearization","fix","gamma",1.27962106137187,1.5
13,200,0.02,"Fixed point linearization","fix","beta",0.898189028969725,1.4
13,200,0.02,"Fixed point linearization","fix","sigma[1]",0.31675300510549,0.3
13,200,0.02,"Fixed point linearization","fix","sigma[2]",0.507282548564352,0.5
14,200,0.02,"Fixed point linearization","fix","epsilon",0.0528078220535216,0.1
14,200,0.02,"Fixed point linearization","fix","alpha",0.49163963890444,0.5
14,200,0.02,"Fixed point linearization","fix","gamma",1.0100077503939,1.5
14,200,0.02,"Fixed point linearization","fix","beta",0.103057274527063,1.4
14,200,0.02,"Fixed point linearization","fix","sigma[1]",0.319803307677856,0.3
14,200,0.02,"Fixed point linearization","fix","sigma[2]",0.477832817891364,0.5
15,200,0.02,"Fixed point linearization","fix","epsilon",0.0509289970058953,0.1
15,200,0.02,"Fixed point linearization","fix","alpha",0.502129533270365,0.5
15,200,0.02,"Fixed point linearization","fix","gamma",1.54304008538707,1.5
15,200,0.02,"Fixed point linearization","fix","beta",-0.091534751261862,1.4
15,200,0.02,"Fixed point linearization","fix","sigma[1]",0.32151101099766,0.3
15,200,0.02,"Fixed point linearization","fix","sigma[2]",0.48998496502755,0.5
16,200,0.02,"Fixed point linearization","fix","epsilon",0.0524049635138159,0.1
16,200,0.02,"Fixed point linearization","fix","alpha",0.503367986749373,0.5
16,200,0.02,"Fixed point linearization","fix","gamma",1.08514027025114,1.5
16,200,0.02,"Fixed point linearization","fix","beta",0.232520789338758,1.4
16,200,0.02,"Fixed point linearization","fix","sigma[1]",0.322894986945793,0.3
16,200,0.02,"Fixed point linearization","fix","sigma[2]",0.489380610698703,0.5
17,200,0.02,"Fixed point linearization","fix","epsilon",0.0509305620628228,0.1
17,200,0.02,"Fixed point linearization","fix","alpha",0.507488796980637,0.5
17,200,0.02,"Fixed point linearization","fix","gamma",1.32823365119022,1.5
17,200,0.02,"Fixed point linearization","fix","beta",0.0777781000300841,1.4
17,200,0.02,"Fixed point linearization","fix","sigma[1]",0.319177387019848,0.3
17,200,0.02,"Fixed point linearization","fix","sigma[2]",0.501037459887019,0.5
18,200,0.02,"Fixed point linearization","fix","epsilon",0.0517204238681265,0.1
18,200,0.02,"Fixed point linearization","fix","alpha",0.491419764694127,0.5
18,200,0.02,"Fixed point linearization","fix","gamma",1.25245178588685,1.5
18,200,0.02,"Fixed point linearization","fix","beta",0.914204610933146,1.4
18,200,0.02,"Fixed point linearization","fix","sigma[1]",0.307165450636778,0.3
18,200,0.02,"Fixed point linearization","fix","sigma[2]",0.498089025816064,0.5
19,200,0.02,"Fixed point linearization","fix","epsilon",0.0538619244842273,0.1
19,200,0.02,"Fixed point linearization","fix","alpha",0.497592105061279,0.5
19,200,0.02,"Fixed point linearization","fix","gamma",1.29149794116876,1.5
19,200,0.02,"Fixed point linearization","fix","beta",-0.0577180084570007,1.4
19,200,0.02,"Fixed point linearization","fix","sigma[1]",0.320005210222367,0.3
19,200,0.02,"Fixed point linearization","fix","sigma[2]",0.512430769219157,0.5
20,200,0.02,"Fixed point linearization","fix","epsilon",0.0492135807811147,0.1
20,200,0.02,"Fixed point linearization","fix","alpha",0.510986396125091,0.5
20,200,0.02,"Fixed point linearization","fix","gamma",1.01001328427025,1.5
20,200,0.02,"Fixed point linearization","fix","beta",0.305256663808986,1.4
20,200,0.02,"Fixed point linearization","fix","sigma[1]",0.319282511317867,0.3
20,200,0.02,"Fixed point linearization","fix","sigma[2]",0.514933828240536,0.5
21,200,0.02,"Fixed point linearization","fix","epsilon",0.0516290080565147,0.1
21,200,0.02,"Fixed point linearization","fix","alpha",0.507491749320404,0.5
21,200,0.02,"Fixed point linearization","fix","gamma",1.15504911875653,1.5
21,200,0.02,"Fixed point linearization","fix","beta",0.203450477736574,1.4
21,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311085437981372,0.3
21,200,0.02,"Fixed point linearization","fix","sigma[2]",0.511920038458302,0.5
22,200,0.02,"Fixed point linearization","fix","epsilon",0.0523966336079261,0.1
22,200,0.02,"Fixed point linearization","fix","alpha",0.50683346730329,0.5
22,200,0.02,"Fixed point linearization","fix","gamma",1.63356125791222,1.5
22,200,0.02,"Fixed point linearization","fix","beta",-0.0759529006545053,1.4
22,200,0.02,"Fixed point linearization","fix","sigma[1]",0.331076909961322,0.3
22,200,0.02,"Fixed point linearization","fix","sigma[2]",0.514521071894684,0.5
23,200,0.02,"Fixed point linearization","fix","epsilon",0.0551603543276384,0.1
23,200,0.02,"Fixed point linearization","fix","alpha",0.474019779059898,0.5
23,200,0.02,"Fixed point linearization","fix","gamma",1.01000022912995,1.5
23,200,0.02,"Fixed point linearization","fix","beta",0.0150982583610564,1.4
23,200,0.02,"Fixed point linearization","fix","sigma[1]",0.336020194527355,0.3
23,200,0.02,"Fixed point linearization","fix","sigma[2]",0.479384867790679,0.5
24,200,0.02,"Fixed point linearization","fix","epsilon",0.0516599365555386,0.1
24,200,0.02,"Fixed point linearization","fix","alpha",0.507446107486776,0.5
