"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
13,200,0.02,"Fixed point linearization","fix","epsilon",0.0977682454330874,0.1
13,200,0.02,"Fixed point linearization","fix","alpha",0.48836464674358,0.5
13,200,0.02,"Fixed point linearization","fix","gamma",1.32433923609212,1.5
13,200,0.02,"Fixed point linearization","fix","beta",0.74621536869479,0.6
13,200,0.02,"Fixed point linearization","fix","sigma[1]",0.301765924875998,0.3
13,200,0.02,"Fixed point linearization","fix","sigma[2]",0.486744518306236,0.5
14,200,0.02,"Fixed point linearization","fix","epsilon",0.0986408240759319,0.1
14,200,0.02,"Fixed point linearization","fix","alpha",0.493396881510017,0.5
14,200,0.02,"Fixed point linearization","fix","gamma",1.25770654729113,1.5
14,200,0.02,"Fixed point linearization","fix","beta",0.68542504759736,0.6
14,200,0.02,"Fixed point linearization","fix","sigma[1]",0.295622869552613,0.3
14,200,0.02,"Fixed point linearization","fix","sigma[2]",0.480295209521824,0.5
15,200,0.02,"Fixed point linearization","fix","epsilon",0.0983276566289773,0.1
15,200,0.02,"Fixed point linearization","fix","alpha",0.49331192430846,0.5
15,200,0.02,"Fixed point linearization","fix","gamma",1.04906850498992,1.5
15,200,0.02,"Fixed point linearization","fix","beta",0.693411263397076,0.6
15,200,0.02,"Fixed point linearization","fix","sigma[1]",0.302231671842001,0.3
15,200,0.02,"Fixed point linearization","fix","sigma[2]",0.493080498685328,0.5
16,200,0.02,"Fixed point linearization","fix","epsilon",0.102741316958706,0.1
16,200,0.02,"Fixed point linearization","fix","alpha",0.496653463276349,0.5
16,200,0.02,"Fixed point linearization","fix","gamma",1.41264309974628,1.5
16,200,0.02,"Fixed point linearization","fix","beta",0.339464790080114,0.6
16,200,0.02,"Fixed point linearization","fix","sigma[1]",0.312824674625491,0.3
16,200,0.02,"Fixed point linearization","fix","sigma[2]",0.479569401702036,0.5
17,200,0.02,"Fixed point linearization","fix","epsilon",0.0996760495878045,0.1
17,200,0.02,"Fixed point linearization","fix","alpha",0.511052898204668,0.5
17,200,0.02,"Fixed point linearization","fix","gamma",1.27614863533734,1.5
17,200,0.02,"Fixed point linearization","fix","beta",0.708373259399852,0.6
17,200,0.02,"Fixed point linearization","fix","sigma[1]",0.31287438576702,0.3
17,200,0.02,"Fixed point linearization","fix","sigma[2]",0.497245589696148,0.5
18,200,0.02,"Fixed point linearization","fix","epsilon",0.0997672973476326,0.1
18,200,0.02,"Fixed point linearization","fix","alpha",0.499262739937807,0.5
18,200,0.02,"Fixed point linearization","fix","gamma",1.14188400217726,1.5
18,200,0.02,"Fixed point linearization","fix","beta",0.560379588810924,0.6
18,200,0.02,"Fixed point linearization","fix","sigma[1]",0.308764007731846,0.3
18,200,0.02,"Fixed point linearization","fix","sigma[2]",0.488765371883782,0.5
19,200,0.02,"Fixed point linearization","fix","epsilon",0.101349028335105,0.1
19,200,0.02,"Fixed point linearization","fix","alpha",0.502530050916108,0.5
19,200,0.02,"Fixed point linearization","fix","gamma",1.5357306216909,1.5
