"path","ratio","sub_h","method","parameter","estimate","truth"
34,100,0.01,"random","y",-0.0894300677792364,-0.05
34,100,0.01,"random","sigma",1.72792060787924,1.7
35,100,0.01,"random","epsilon",0.111355041714543,0.1
35,100,0.01,"random","y",-0.0582172919976755,-0.05
35,100,0.01,"random","sigma",1.67047656249034,1.7
36,100,0.01,"random","epsilon",0.0987312602685432,0.1
36,100,0.01,"random","y",-0.0672110292949674,-0.05
36,100,0.01,"random","sigma",1.69834405238906,1.7
37,100,0.01,"random","epsilon",0.111044903724129,0.1
37,100,0.01,"random","y",-0.051276549475171,-0.05
37,100,0.01,"random","sigma",1.6668611080111,1.7
38,100,0.01,"random","epsilon",0.10259433144766,0.1
38,100,0.01,"random","y",-0.0633956565990486,-0.05
38,100,0.01,"random","sigma",1.68810448455315,1.7
39,100,0.01,"random","epsilon",0.109727980722425,0.1
39,100,0.01,"random","y",-0.0299149901527106,-0.05
39,100,0.01,"random","sigma",1.7077934091253,1.7
40,100,0.01,"random","epsilon",0.104414041082127,0.1
40,100,0.01,"random","y",-0.0542794060527713,-0.05
40,100,0.01,"random","sigma",1.71380799386756,1.7
41,100,0.01,"random","epsilon",0.0944421700151911,0.1
41,100,0.01,"random","y",-0.0861825429573587,-0.05
41,100,0.01,"random","sigma",1.71046287294542,1.7
42,100,0.01,"random","epsilon",0.106453546542075,0.1
42,100,0.01,"random","y",-0.0535034398443604,-0.05
42,100,0.01,"random","sigma",1.70129857101781,1.7
43,100,0.01,"random","epsilon",0.0926780774115697,0.1
43,100,0.01,"random","y",-0.0111010925277948,-0.05
43,100,0.01,"random","sigma",1.71219800659104,1.7
44,100,0.01,"random","epsilon",0.107371098289033,0.1
44,100,0.01,"random","y",-0.0151972818974501,-0.05
44,100,0.01,"random","sigma",1.69435192618171,1.7
45,100,0.01,"random","epsilon",0.0940067016691566,0.1
45,100,0.01,"random","y",-0.0552892228594592,-0.05
45,100,0.01,"random","sigma",1.66463216166613,1.7
46,100,0.01,"random","epsilon",0.0920538042014086,0.1
46,100,0.01,"random","y",-0.0137435454417326,-0.05
46,100,0.01,"random","sigma",1.68368562832858,1.7
47,100,0.01,"random","epsilon",0.0977134381344615,0.1
47,100,0.01,"random","y",-0.0443065843087099,-0.05
47,100,0.01,"random","sigma",1.6957082568847,1.7
48,100,0.01,"random","epsilon",0.0974873352788963,0.1
48,100,0.01,"random","y",-0.0554448401729833,-0.05
48,100,0.01,"random","sigma",1.670321340677,1.7
49,100,0.01,"random","epsilon",0.0952906775512791,0.1
49,100,0.01,"random","y",-0.0503013868988413,-0.05
49,100,0.01,"random","sigma",1.69947734352666,1.7
50,100,0.01,"random","epsilon",0.112103917827988,0.1
50,100,0.01,"random","y",-0.0542564544530375,-0.05
50,100,0.01,"random","sigma",1.6831479383793,1.7
51,100,0.01,"random","epsilon",0.0987818282815208,0.1
51,100,0.01,"random","y",-0.0206186550990933,-0.05
51,100,0.01,"random","sigma",1.66723380739077,1.7
52,100,0.01,"random","epsilon",0.101788637231709,0.1
52,100,0.01,"random","y",-0.114803295808962,-0.05
52,100,0.01,"random","sigma",1.65034406618614,1.7
53,100,0.01,"random","epsilon",0.118605203101255,0.1
53,100,0.01,"random","y",-0.022339620695337,-0.05
53,100,0.01,"random","sigma",1.66775581270102,1.7
54,100,0.01,"random","epsilon",0.100311224281766,0.1
54,100,0.01,"random","y",-0.0661403742382412,-0.05
54,100,0.01,"random","sigma",1.67598556864861,1.7
55,100,0.01,"random","epsilon",0.10133291960305,0.1
55,100,0.01,"random","y",0.00641221830707663,-0.05
55,100,0.01,"random","sigma",1.7185850075531,1.7
56,100,0.01,"random","epsilon",0.0990389372450988,0.1
56,100,0.01,"random","y",-0.106155686404086,-0.05
56,100,0.01,"random","sigma",1.74737220849138,1.7
57,100,0.01,"random","epsilon",0.098344880907982,0.1
57,100,0.01,"random","y",0.0146970448397299,-0.05
57,100,0.01,"random","sigma",1.68477684358565,1.7
58,100,0.01,"random","epsilon",0.0965650820428499,0.1
58,100,0.01,"random","y",-0.0844046511130416,-0.05
